pair_index,win_y,win_x,time_s,glo_dy_px,glo_dx_px,nbs_dy_px,nbs_dx_px,final_dy_px,final_dx_px
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000240e-05,nan,nan,nan,nan,nan,nan
