win_y,win_x,center_y_px,center_x_px
0.000000000000000000e+00,0.000000000000000000e+00,5.120000000000000000e+02,2.800000000000000000e+01
0.000000000000000000e+00,1.000000000000000000e+00,5.120000000000000000e+02,8.400000000000000000e+01
0.000000000000000000e+00,2.000000000000000000e+00,5.120000000000000000e+02,1.400000000000000000e+02
0.000000000000000000e+00,3.000000000000000000e+00,5.120000000000000000e+02,1.960000000000000000e+02
0.000000000000000000e+00,4.000000000000000000e+00,5.120000000000000000e+02,2.520000000000000000e+02
0.000000000000000000e+00,5.000000000000000000e+00,5.120000000000000000e+02,3.080000000000000000e+02
0.000000000000000000e+00,6.000000000000000000e+00,5.120000000000000000e+02,3.640000000000000000e+02
0.000000000000000000e+00,7.000000000000000000e+00,5.120000000000000000e+02,4.200000000000000000e+02
0.000000000000000000e+00,8.000000000000000000e+00,5.120000000000000000e+02,4.760000000000000000e+02
0.000000000000000000e+00,9.000000000000000000e+00,5.120000000000000000e+02,5.320000000000000000e+02
0.000000000000000000e+00,1.000000000000000000e+01,5.120000000000000000e+02,5.880000000000000000e+02
0.000000000000000000e+00,1.100000000000000000e+01,5.120000000000000000e+02,6.440000000000000000e+02
0.000000000000000000e+00,1.200000000000000000e+01,5.120000000000000000e+02,7.000000000000000000e+02
0.000000000000000000e+00,1.300000000000000000e+01,5.120000000000000000e+02,7.560000000000000000e+02
0.000000000000000000e+00,1.400000000000000000e+01,5.120000000000000000e+02,8.120000000000000000e+02
0.000000000000000000e+00,1.500000000000000000e+01,5.120000000000000000e+02,8.680000000000000000e+02
